No,transaction date,house age,distance to the nearest metro station,price per square foot
1,2012.917,32,594.15174,758
2,2012.917,19.5,2146.1629,844
3,2013.583,13.3,3933.8915,946
4,2013.5,13.3,3933.8915,1096
5,2012.833,5,2733.9788,862
6,2012.667,7.1,15225.21,642
7,2012.667,34.5,4364.3117,806
8,2013.417,20.3,2013.2175,934
9,2013.5,31.7,38584.266,376
10,2013.417,17.9,12482.26,442
11,2013.083,34.8,2836.4938,828
12,2013.333,6.3,633.19242,1162
13,2012.917,13,3445.6191,786
14,2012.667,20.4,17287.515,476
15,2013.5,13.2,8153.866,686
16,2013.583,35.7,4054.4581,1010
17,2013.25,0,2050.9846,1402
18,2012.75,17.7,2455.9605,748
19,2013.417,16.9,2576.9541,846
20,2012.667,1.5,163.67988,954
21,2013.417,4.5,15931.139,586
22,2013.417,10.5,1954.2082,1032
23,2012.917,14.7,9520.973,492
24,2013.083,10.1,1954.2082,958
25,2013,39.6,3364.8839,776
26,2013.083,29.3,10415.076,540
27,2012.667,3.1,2687.0368,1124
28,2013.25,10.4,1935.143,672
29,2013.5,19.2,3902.346,940
30,2013.083,7.1,3158.7066,1142
31,2013.5,25.9,31637.83,442
32,2012.75,29.6,5385.8238,500
33,2012.75,37.9,3420.0089,684
34,2013.25,16.5,2265.585,986
35,2012.75,15.4,1437.569,1102
36,2013.5,13.9,28555.926,546
37,2012.917,14.7,13545.063,458
38,2013.167,12,9520.973,506
39,2012.667,3.1,4045.7305,954
40,2013.167,16.2,2025.2736,924
41,2013,13.6,28574.105,318
42,2013.5,16.8,28466.109,364
43,2013.417,36.1,3636.2319,694
44,2012.75,34.4,3589.5097,682
45,2013.583,2.7,3734.3334,1078
46,2013.083,36.6,3421.7351,766
47,2013.417,21.7,3247.7361,840
48,2013.583,35.9,4485.1737,1230
49,2013.417,24.2,32240.243,268
50,2012.667,29.4,31572.513,264
51,2013.417,21.7,3587.8409,884
52,2013.083,31.3,12308.842,414
53,2013.583,32.1,10070.053,540
54,2013.083,13.3,3445.6191,778
55,2013.083,16.1,2025.2736,1034
56,2012.833,31.7,8124.424,274
57,2013.417,33.6,2598.7465,838
58,2012.917,3.5,395.31975,1070
59,2013.5,30.3,31572.513,452
60,2013.083,13.3,2352.3724,848
61,2013.417,11,13518.449,426
62,2013.5,5.3,1817.6249,1264
63,2012.917,17.2,15231.139,554
64,2013.583,2.6,3734.3334,1100
65,2013.333,17.5,6970.2878,506
66,2013.417,40.1,866.2003,886
67,2013,1,1355.0915,1014
68,2013.5,8.5,733.6707,1136
69,2013.417,30.4,3249.561,724
70,2012.833,12.5,3933.8915,840
71,2013.583,6.6,633.19242,1180
72,2013.083,35.5,4485.1737,816
73,2013.583,32.5,2971.8094,726
74,2013.167,13.8,28574.105,400
75,2012.917,6.8,2656.9025,1088
76,2013.5,12.3,9520.973,590
77,2013.583,35.9,4314.8028,736
78,2012.833,20.5,15295.896,512
79,2012.917,38.2,3867.0597,596
80,2013,18,9903.859,530
81,2013.5,11.8,3734.3334,806
82,2013,30.8,2644.5692,736
83,2013.083,13.2,1056.5429,962
84,2012.917,25.3,18951.744,354
85,2013.083,15.1,2682.9635,874
86,2012.75,0,2372.7753,1016
87,2012.833,1.8,10190.586,540
88,2013.583,16.9,28466.109,366
89,2012.917,8.9,9845.01,960
90,2013.5,23,27635.615,506
91,2012.833,0,1918.1008,908
92,2013.25,9.1,9814.112,864
93,2012.917,20.6,17287.515,436
94,2012.917,31.9,8024.303,322
95,2012.917,40.9,1173.1923,820
96,2012.917,8,733.6707,1036
97,2013.417,6.4,633.19242,1190
98,2013.083,28.4,4322.0968,692
99,2013.417,16.4,2025.2736,1020
100,2013.417,6.4,633.19242,1244
101,2013.5,17.5,6753.2472,764
102,2012.833,12.7,1190.9023,658
103,2013.083,1.1,1355.0915,1088
104,2012.75,0,1458.7335,914
105,2012.667,32.7,2747.1213,610
106,2012.833,0,2050.9846,1420
107,2013.083,17.2,1326.6267,942
108,2013.333,12.2,9520.973,532
109,2013.417,31.4,4147.5042,682
110,2013.583,4,15031.632,568
111,2013.083,8.1,733.6707,1032
112,2013.583,33.3,1376.3204,788
113,2013.417,9.9,14716.989,462
114,2013.333,14.8,2752.8242,152
115,2012.667,30.6,1006.8681,1066
116,2013.083,20.6,5165.4127,928
117,2013,30.9,44773.981,244
118,2013,13.6,29381.443,260
119,2013.5,25.3,11086.054,612
120,2013.5,16.6,2025.2736,1192
121,2013.167,13.3,3445.6191,626
122,2013.5,13.6,3445.6191,960
123,2013.25,31.5,2904.6332,650
124,2013.417,0,1298.0072,910
125,2012.917,9.9,1954.2082,1148
126,2013.167,1.1,1355.0915,972
127,2013.083,38.6,5632.8279,1258
128,2013.25,3.8,2687.0368,1100
129,2013.083,41.3,874.9384,1214
130,2013.417,38.5,1517.8303,820
131,2013.25,29.6,3748.689,750
132,2013.5,4,15031.632,614
133,2013.167,26.6,3379.3067,750
134,2012.833,18,2613.7559,790
135,2012.667,33.4,1308.7802,844
136,2012.917,18.9,7064.645,416
137,2012.75,11.4,2733.9788,936
138,2013.5,13.6,2233.4956,948
139,2013.167,10,6597.2648,870
140,2012.667,12.9,3445.6191,850
141,2013.25,16.2,2025.2736,1028
142,2013.333,5.1,10918.789,578
143,2013.417,19.8,4484.2497,750
144,2013.5,13.6,3445.6191,802
145,2013.083,11.9,9520.973,568
146,2012.917,2.1,3158.7066,910
147,2012.75,0,1298.0072,1044
148,2012.75,3.2,3429.1747,864
149,2013.5,16.4,26464.13,902
150,2012.667,34.9,1256.1766,794
151,2013.25,35.8,1195.1177,970
152,2013.5,4.9,2714.4047,894
153,2013.333,12,9520.973,578
154,2013.25,6.5,2633.1963,818
155,2013.5,16.9,28466.109,414
156,2013.167,13.8,28574.105,312
157,2013.583,30.7,8853.11,366
158,2013.25,16.1,5711.5198,712
159,2013,11.6,2733.9788,788
160,2012.667,15.5,5711.5198,748
161,2012.917,3.5,347.62735,1156
162,2013.417,19.2,4314.8028,792
163,2012.75,16,28466.109,232
164,2013.5,8.5,733.6707,1110
165,2012.833,0,1298.0072,1104
166,2012.917,13.7,8655.948,612
167,2013.417,0,2050.9846,1472
168,2013.417,28.2,2310.5978,868
169,2013.083,27.6,3605.7854,748
170,2013.417,8.4,13738.396,470
171,2013.333,24,31693.809,288
172,2013.083,3.6,2687.0368,1176
173,2013.583,6.6,633.19242,1162
174,2013.083,41.3,2813.1649,702
175,2013.417,4.3,3024.2695,904
176,2013.083,30.2,3305.2215,730
177,2012.833,13.9,32016.453,384
178,2013.083,33,1267.5362,840
179,2013.5,13.1,8011.052,734
180,2013.083,14,3071.9591,852
